Incident-ID,Incident Date,Incident Closed Date,Severity,Status,Type,ServiceType,Product Type,Brand,Model,Serial No./CD-Key,Company,ENQ,Problem Date Start,Problem Date End,Data Center,Branch,Customer Support Contact
SR-ES-22-1478,21 Sep 2022 15:36,21 Sep 2022 17:08,Minor,Closed,General Incident,Incident,Software,VMWare,vRealize Automation Advanced Per OSI,vRA1300,AIS,ENQ/65-271,21 Sep 2022 16:40,21 Sep 2022 17:08,SILA1,AIS,Nichapa Khaonoiwarodom
SR-ES-22-1482,21 Sep 2022 15:48,29 Sep 2022 16:10,Minor,Closed,General Incident,Incident,Software,RedHat,Redhat satellite,RHSTL01,AIS,ENQ/65-271,21 Sep 2022 16:45,29 Sep 2022 16:10,TLS1,AIS,Gawin Kanwicha
SR-ES-22-1479,21 Sep 2022 16:32,21 Sep 2022 17:31,Minor,Closed,General Incident,Incident,Software,VMWare,vRealize Automation Advanced Per OSI,vRA1300,AIS,ENQ/65-271,21 Sep 2022 16:40,21 Sep 2022 17:31,SILA1,AIS,Phichet Suwannarat
SR-ES-22-1485,22 Sep 2022 12:02,22 Sep 2022 18:49,Major,Closed,General Incident,Incident,Storage,NetApp,FAS8200,451835000078,AIS,ENQ/65-271,22 Sep 2022 12:31,22 Sep 2022 17:16,TLS1,AIS,ITCO
SR-ES-22-1487,22 Sep 2022 17:34,22 Sep 2022 19:01,Minor,Closed,General Incident,Incident,Software,VMWare,vRealize Automation Advanced Per OSI,vRA1300,AIS,ENQ/65-271,22 Sep 2022 17:42,22 Sep 2022 19:01,SILA1,AIS,Jariya Moongkheemklang
SR-ES-22-1489,23 Sep 2022 11:46,23 Sep 2022 13:53,Minor,Closed,General Incident,Incident,Software,VMWare,vRealize Automation Advanced Per OSI,vRA1300,AIS,ENQ/65-271,23 Sep 2022 13:53,23 Sep 2022 13:53,SILA1,AIS,Kamol Khomkrit
SR-ES-22-1512,25 Sep 2022 13:00,25 Sep 2022 13:51,Cosmatic,Closed,General Incident,Request,Storage,NetApp,FAS8020,451426000107,AIS,ENQ/65-271,25 Sep 2022 13:51,25 Sep 2022 13:51,TLS1,AIS,Yuthapong Yingyongworachat
SR-ES-22-1513,25 Sep 2022 16:32,25 Sep 2022 18:27,Minor,Closed,General Incident,Incident,Storage,NetApp,FAS8020,451445000293,AIS,ENQ/65-271,25 Sep 2022 16:37,25 Sep 2022 18:27,TLS1,AIS,Chittaphol Nuntiganon
SR-ES-22-1514,26 Sep 2022 13:30,26 Sep 2022 15:43,Minor,Closed,General Incident,Incident,Storage,YIP,dummy,dummy-ais,AIS,dummy-ais,26 Sep 2022 14:27,26 Sep 2022 15:43,Yit,Yit,Laootip Ruenthian
SR-ES-22-1624,26 Sep 2022 15:33,26 Sep 2022 16:25,Major,Closed,General Incident,Incident,Software,VMWare,vRealize Automation Advanced Per OSI,vRA1300,AIS,ENQ/65-271,26 Sep 2022 15:55,26 Sep 2022 16:25,SILA1,AIS,Kamol Khomkrit
SR-ES-22-1496,26 Sep 2022 23:14,30 Sep 2022 13:11,Minor,Closed,General Incident,Incident,Software,YIP,Purge System,PURGE801,AIS,ENQ/65-271,26 Sep 2022 23:19,29 Sep 2022 19:02,TLS1,AIS,Yuthapong Yingyongworachat
SR-ES-22-1507,27 Sep 2022 02:00,27 Sep 2022 04:45,Major,Closed,Memory Failure,Incident,Server,HPE,ProLiant DL560 Gen10,SGH035S31B,AIS,ENQ/63-267,27 Sep 2022 02:21,27 Sep 2022 04:17,TLS1,AIS,Gawin Kanwicha
SR-ES-22-1515,27 Sep 2022 17:43,28 Sep 2022 02:10,Major,Closed,Memory Failure,Incident,Server,HPE,ProLiant DL560 Gen10,SGH035S31B,AIS,ENQ/63-267,27 Sep 2022 17:48,28 Sep 2022 01:50,TLS1,AIS,Narong Mungdee
SR-ES-22-1516,27 Sep 2022 23:09,28 Sep 2022 01:27,Major,Closed,Memory Failure,Incident,Server,HPE,ProLiant DL560 Gen10,SGH035S31L,AIS,ENQ/63-267,27 Sep 2022 23:09,28 Sep 2022 01:05,TLS1,AIS,Narong Mungdee
SR-ES-22-1524,28 Sep 2022 00:17,03 Oct 2022 12:54,Minor,Closed,General Incident,Incident,Storage,NetApp,FAS8200,451835000078,AIS,ENQ/65-271,28 Sep 2022 09:25,03 Oct 2022 10:02,TLS1,AIS,Laootip Ruenthian
SR-ES-22-1522,29 Sep 2022 00:30,29 Sep 2022 18:15,Major,Closed,Memory Failure,Incident,Server,HPE,ProLiant DL560 Gen10,SGH932V6T3,AIS,ENQ/62-320,29 Sep 2022 00:35,29 Sep 2022 18:15,TLS1,AIS,Narong Mungdee
SR-ES-22-1530,30 Sep 2022 11:00,30 Sep 2022 13:06,Cosmatic,Closed,Maintenance System,Request,Software,YIP,Purge System,PURGE401,AIS,ENQ/65-271,30 Sep 2022 13:06,30 Sep 2022 13:06,CWDC,AIS,Yuthapong Yingyongworachat
SR-ES-22-1531,30 Sep 2022 11:00,30 Sep 2022 13:29,Cosmatic,Closed,Maintenance System,Request,Software,YIP,Purge System,PURGE801,AIS,ENQ/65-271,30 Sep 2022 13:29,30 Sep 2022 13:29,TLS1,AIS,Yuthapong Yingyongworachat
SR-ES-22-1532,30 Sep 2022 11:00,30 Sep 2022 14:15,Cosmatic,Closed,Maintenance System,Request,Software,YIP,Purge System,PURGE201,AIS,ENQ/65-271,30 Sep 2022 14:15,30 Sep 2022 14:15,SUK,AIS,Yuthapong Yingyongworachat
SR-ES-22-1529,30 Sep 2022 11:10,30 Sep 2022 13:05,Cosmatic,Closed,Maintenance System,Request,Software,YIP,Purge System,PURGE901,AIS,ENQ/65-271,30 Sep 2022 13:05,30 Sep 2022 13:05,SILA1,AIS,Yuthapong Yingyongworachat
