Date(UTC),Market,Type,Price,Amount,Total,Fee,Fee Coin
2022-05-10 04:30:49,USTBUSD,SELL,0.8,125,100,0,BNB
2022-05-10 05:01:32,USTBUSD,SELL,0.8553,25,21.3825,0,BNB
2022-05-10 06:12:46,USTBUSD,SELL,0.9184,50,45.92,0,BNB
2022-05-10 06:34:42,USDCBUSD,BUY,1.0001,99.99,99.999999,0,BNB
2022-05-10 07:24:35,USTBUSD,SELL,0.8713,100,87.13,0,BNB
2022-05-10 07:49:54,USTBUSD,SELL,0.9011,140,126.154,0,BNB
2022-05-10 09:17:43,USTBUSD,SELL,0.901,52,46.852,0,BNB
2022-05-10 15:57:29,USTBUSD,SELL,0.9054,200,181.08,0,BNB
2022-05-10 15:57:29,USTBUSD,SELL,0.9054,200,181.08,0,BNB
2022-05-10 15:58:27,USTBUSD,SELL,0.9055,188,170.234,0,BNB
2022-05-10 15:58:27,USTBUSD,SELL,0.9055,188,170.234,0,BNB
2022-05-10 16:25:02,BUSDUSDT,SELL,1.0001,400,400.04,0,BNB
2022-05-10 21:14:41,USTBUSD,SELL,0.8948,100,89.48,0,BNB
2022-05-10 21:14:41,USTBUSD,SELL,0.8948,100,89.48,0,BNB
2022-05-11 12:07:37,MATICBUSD,SELL,0.839,12.2,10.2358,0.00002505,BNB
2022-05-11 12:07:37,MATICBUSD,SELL,0.839,12.2,10.2358,0.00002505,BNB
2022-05-11 13:00:25,USTBUSD,SELL,0.295937,100,29.5937,0,BNB
2022-05-11 13:00:25,USTBUSD,SELL,0.295937,100,29.5937,0,BNB
2022-05-11 13:03:41,USTBUSD,SELL,0.318938,112,35.721056,0,BNB
2022-05-11 13:03:41,USTBUSD,SELL,0.318938,112,35.721056,0,BNB
2022-05-11 13:06:49,USTBUSD,SELL,0.323156,50,16.1578,0,BNB
2022-05-11 13:06:49,USTBUSD,SELL,0.323156,50,16.1578,0,BNB
2022-05-11 13:20:45,USTBUSD,SELL,0.37,50,18.5,0,BNB
2022-05-11 13:20:45,USTBUSD,SELL,0.37,50,18.5,0,BNB
2022-05-11 13:21:20,USTBUSD,SELL,0.39,150,58.5,0,BNB
2022-05-11 13:21:20,USTBUSD,SELL,0.39,150,58.5,0,BNB
2022-05-11 13:35:48,USTBUSD,SELL,0.394409,50,19.72045,0,BNB
2022-05-11 13:35:48,USTBUSD,SELL,0.394409,50,19.72045,0,BNB
2022-05-11 13:54:42,SOLBUSD,SELL,56.01,0.33,18.4833,0.00004625,BNB
2022-05-11 13:54:42,SOLBUSD,SELL,56.01,0.33,18.4833,0.00004625,BNB
2022-05-11 14:26:31,AVAXBUSD,SELL,35.64,0.56,19.9584,0.00005012,BNB
2022-05-11 14:26:31,AVAXBUSD,SELL,35.64,0.56,19.9584,0.00005012,BNB
2022-05-11 14:49:06,BUSDUSDT,BUY,1.0009,199,199.1791,0,BNB
2022-05-11 14:52:10,USDCBUSD,SELL,1.0001,449.99,450.034999,0,BNB
2022-05-12 07:17:03,BUSDUSDT,BUY,1.0857,184,199.7688,0,BNB
2022-05-12 07:22:33,USDCUSDT,BUY,1.0721,180,192.978,0,BNB
2022-05-12 07:33:33,BUSDUSDT,BUY,1.0383,193,200.3919,0,BNB
2022-05-12 08:44:54,MATICBUSD,BUY,0.542,18.4,9.9728,0.00003044,BNB
2022-05-12 08:49:10,MATICBUSD,BUY,0.546,18.3,9.9918,0.00003045,BNB
2022-05-12 08:49:17,MATICBUSD,SELL,0.545,36.7,20.0015,0.00006099,BNB
2022-05-12 09:07:44,SOLBUSD,SELL,43.5,0.25,10.875,0.00003288,BNB
2022-05-12 09:12:00,AVAXUSDT,SELL,27.54,0.61,16.7994,0.0000498,BNB
2022-05-12 10:47:38,BNBBUSD,SELL,259,0.014,3.626,0.00001048,BNB
2022-05-12 10:47:38,BNBBUSD,SELL,259.1,0.028,7.2548,0.00002098,BNB
2022-05-12 10:50:29,USDCBUSD,SELL,1,100,100,0,BNB
2022-05-14 18:59:29,BTCBUSD,BUY,29478.82,0.00067,19.7508094,0.00005146,BNB
2022-05-14 19:00:36,BNBBUSD,BUY,288.5,0.069,19.9065,0.00005175,BNB
2022-05-14 19:01:01,ETHBUSD,BUY,2009.44,0.0124,24.917056,0.00006489,BNB
2022-05-14 19:01:58,SOLBUSD,BUY,48.98,0.4,19.592,0.00005106,BNB
2022-05-14 19:02:27,AVAXBUSD,BUY,31.56,0.47,14.8332,0.00003874,BNB
2022-05-14 19:05:06,MATICBUSD,BUY,0.656,22.8,14.9568,0.00003898,BNB
2022-05-14 19:28:48,BUSDUSDT,BUY,1.0014,118,118.1652,0,BNB
2022-05-15 06:17:29,ETHBUSD,SELL,2024.99,0.0062,12.554938,0.00003224,BNB
2022-05-15 06:34:47,BUSDUSDT,BUY,1.0015,249,249.3735,0,BNB
2022-05-15 06:36:09,BUSDUSDT,BUY,1.0015,13,13.0195,0,BNB
2022-05-16 12:02:31,USDCBUSD,SELL,0.9999,100,99.99,0,BNB
2022-05-17 13:53:52,USDCBUSD,SELL,0.9999,80,79.992,0,BNB
2022-05-17 13:57:54,ETHBUSD,BUY,2101.91,0.0071,14.923561,0.00003621,BNB
2022-05-17 13:58:36,BTCBUSD,BUY,30500.01,0.00065,19.8250065,0.00004812,BNB
2022-05-17 14:00:36,AVAXBUSD,BUY,35.03,0.45,15.7635,0.00003824,BNB
2022-05-17 14:01:50,SOLBUSD,BUY,57.16,0.23,13.1468,0.00003199,BNB
2022-05-17 14:03:04,BNBBUSD,BUY,308.5,0.038,11.723,0.0000285,BNB
2022-05-17 14:17:20,USDCUSDT,SELL,1.0011,15,15.0165,0,BNB
2022-05-17 15:07:07,USDCUSDT,BUY,1.0013,100,100.13,0,BNB
2022-05-17 15:17:32,SOLBUSD,SELL,54.48,0.19,10.3512,0.00002571,BNB
2022-05-17 15:18:06,AVAXBUSD,SELL,33.39,0.32,10.6848,0.00002655,BNB
2022-05-17 16:22:25,BTCBUSD,SELL,29909.33,0.00035,10.4682655,0.00002613,BNB
2022-05-18 12:48:55,MATICBUSD,SELL,0.688,10.7,7.3616,0.0000184,BNB
2022-05-18 12:48:55,MATICBUSD,SELL,0.688,7.1,4.8848,0.00001221,BNB
2022-05-18 12:56:20,ETHBUSD,SELL,1999.99,0.0066,13.199934,0.00003324,BNB
2022-05-22 10:47:57,ETHBUSD,BUY,2033.92,0.0073,14.847616,0.00003477,BNB
2022-05-22 10:48:14,BTCUSDT,BUY,30276.2,0.00046,13.927052,0.00003256,BNB
2022-05-22 14:03:24,AVAXBUSD,BUY,31.81,0.39,12.4059,0.00002892,BNB
2022-05-22 23:07:13,MATICBUSD,BUY,0.68,18.8,12.784,0.00002996,BNB
2022-05-23 05:57:47,BNBBUSD,BUY,324.1,0.039,12.6399,0.00002925,BNB
2022-05-23 07:10:38,SOLBUSD,BUY,53.2,0.23,12.236,0.00002806,BNB
2022-05-24 13:59:32,USDCBUSD,SELL,1,30,30,0,BNB
2022-05-24 14:12:59,BTCUSDT,BUY,28784.23,0.00036,10.3623228,0.00002475,BNB
2022-05-24 15:44:57,ETHUSDT,SELL,1950,0.0056,10.92,0.00002566,BNB
2022-05-25 03:32:34,USDCUSDT,BUY,1.0012,99,99.1188,0,BNB
2022-05-25 03:33:57,BUSDUSDT,BUY,1.0012,149,149.1788,0,BNB
2022-05-25 04:28:46,BUSDUSDT,BUY,1.0012,71,71.0852,0,BNB
2022-05-25 04:30:58,ETHBUSD,BUY,2005.69,0.005,10.02845,0.00002252,BNB
2022-05-25 05:38:14,ETHBUSD,BUY,1990.3,0.0055,10.94665,0,BNB
