Date(UTC),Market,Type,Price,Amount,Total,Fee,Fee Coin
2022-03-10 01:47:39,ETHUSDT,BUY,2675,0.0114,30.495,0.00005916,BNB
2022-03-13 20:20:38,AVAXUSDT,SELL,69.43,0.4,27.772,0.00005638,BNB
2022-03-13 22:16:03,ATOMUSDT,SELL,26.6,1.01,26.866,0.00005442,BNB
2022-03-18 00:58:15,ATOMUSDT,BUY,27.6,0.9,24.84,0.00004828,BNB
2022-03-21 10:50:56,AVAXUSDT,BUY,92.41,0.28,25.8748,0.00004906,BNB
2022-03-21 11:02:24,ETHUSDT,BUY,2912.67,0.0041,11.941947,0.00002268,BNB
2022-03-21 11:04:46,BNBUSDT,BUY,395,0.027,10.665,0.00002025,BNB
2022-03-21 11:37:45,MATICUSDT,BUY,1.487,6.7,9.9629,0.00001891,BNB
2022-03-21 14:10:25,AVAXUSDT,SELL,89.4,0.12,10.728,0.0000204,BNB
2022-03-22 03:18:44,ETHUSDT,BUY,2988.28,0.004,11.95312,0.00002215,BNB
2022-03-22 04:27:43,ATOMUSDT,BUY,28.68,0.38,10.8984,0.00001987,BNB
2022-03-24 15:00:02,BTCUSDT,BUY,43635,0.00229,99.92415,0.00018251,BNB
2022-03-24 15:28:00,AVAXUSDT,BUY,87.32,0.13,11.3516,0.00002055,BNB
2022-03-24 15:40:33,SOLUSDT,BUY,102.11,0.14,14.2954,0.00002574,BNB
2022-03-25 15:29:51,MATICUSDT,BUY,1.61,18.1,29.141,0.00005292,BNB
2022-03-25 15:54:26,ATOMUSDT,BUY,28.6,0.99,28.314,0.00005163,BNB
2022-03-25 16:44:04,BNBUSDT,BUY,411,0.062,25.482,0.0000465,BNB
2022-03-25 16:45:55,SOLUSDT,BUY,98.5,0.2,19.7,0.00003606,BNB
2022-03-26 07:36:40,MATICUSDT,SELL,1.6,6.8,10.88,0.00001981,BNB
2022-03-26 07:56:41,ATOMUSDT,SELL,28.7,0.44,12.628,0.00002291,BNB
2022-03-28 05:57:32,MATICUSDT,BUY,1.71,15,25.65,0.00004406,BNB
2022-03-28 14:14:00,ATOMUSDT,BUY,30.86,0.49,15.1214,0.00002581,BNB
2022-03-28 14:29:39,AVAXUSDT,BUY,93.1,0.16,14.896,0.00002538,BNB
2022-03-28 14:47:31,SOLUSDT,BUY,112.2,0.16,17.952,0.00003056,BNB
2022-03-28 14:51:49,AVAXUSDT,BUY,93.73,0.11,10.3103,0.00001756,BNB
2022-03-28 16:18:38,ATOMUSDT,BUY,30.5,0.49,14.945,0.00002574,BNB
2022-03-28 16:19:00,AVAXUSDT,BUY,92.6,0.16,14.816,0.00002554,BNB
2022-03-28 20:48:17,ATOMUSDT,BUY,31.31,0.38,11.8978,0.0000203,BNB
2022-03-28 23:11:43,MATICUSDT,BUY,1.68,9.5,15.96,0.00002761,BNB
2022-03-29 07:46:00,SOLBUSD,BUY,110.29,0.36,39.7044,0.00006852,BNB
2022-03-29 16:09:06,ATOMUSDT,SELL,30.19,0.36,10.8684,0.0000188,BNB
2022-03-30 01:43:40,ATOMUSDT,BUY,29.3,0.37,10.841,0.00001915,BNB
2022-03-31 06:58:36,AVAXBUSD,BUY,99.37,0.15,14.9055,0.00002511,BNB
2022-03-31 14:04:54,AVAXBUSD,BUY,95.6,0.16,15.296,0,BNB
2022-03-31 19:46:03,BTCUSDT,BUY,45555,0.00046,20.9553,0.00003681,BNB
2022-04-01 01:54:22,BNBUSDT,BUY,423.6,0.036,15.2496,0.000027,BNB
2022-04-01 02:25:22,ETHUSDT,BUY,3231,0.0046,14.8626,0.00002653,BNB
2022-04-01 02:55:17,AVAXBUSD,BUY,91,0.13,11.83,0,BNB
2022-04-02 15:06:59,BTCUSDT,BUY,46484.39,0.00086,39.9765754,0.00006739,BNB
2022-04-02 15:10:16,BTCUSDT,BUY,46490,0.00023,10.6927,0.00001802,BNB
2022-04-02 15:29:17,BTCUSDT,SELL,46445.83,0.00025,11.6114575,0.00001959,BNB
2022-04-02 16:30:38,BNBBUSD,BUY,443.6,0.033,14.6388,0.00002475,BNB
2022-04-02 18:10:31,AVAXBUSD,BUY,97.2,0.16,15.552,0,BNB
2022-04-02 23:27:29,ATOMBUSD,BUY,31.3,0.7,21.91,0,BNB
2022-04-03 01:21:18,BTCUSDT,BUY,45620,0.00032,14.5984,0.00002526,BNB
2022-04-06 00:01:44,ETHBUSD,BUY,3385,0.0088,29.788,0,BNB
2022-04-06 00:12:29,SOLBUSD,BUY,125,0.16,20,0,BNB
2022-04-06 15:32:49,BTCUSDT,SELL,43766.94,0.0008,35.013552,0.00006216,BNB
2022-04-06 16:38:15,ATOMUSDT,SELL,27.28,1.12,30.5536,0.00005436,BNB
2022-04-06 16:39:54,MATICUSDT,SELL,1.476,7,10.332,0.00001833,BNB
